S.No.,Program,Sem,Section,Batch,Module Name,Theory Hrs/Week,Practical Hrs/Week,Tutorial Hrs/Week,Theory Load,Practical Load,Total Load,Faculty
1,BTECH,1,A,1,Engineering Mathematics-I,4,0,1,4,0,4,Dr. Ramesh Kumar
2,BTECH,1,A,1,Engineering Physics,3,2,0,3,1,4,Dr. Sunita Sharma
3,BTECH,1,A,1,Engineering Chemistry,3,2,0,3,1,4,Dr. Amit Verma
4,BTECH,1,A,1,Basic Electrical Engineering,3,2,0,3,1,4,Prof. Rajesh Singh
5,BTECH,1,A,1,Programming for Problem Solving,3,2,0,3,1,4,Dr. Priya Patel
6,BTECH,1,A,1,Engineering Graphics,1,2,0,1,1,2,Prof. Suresh Mehta
7,BTECH,1,A,1,Communication Skills,2,0,1,2,0,2,Dr. Kavita Joshi
8,BTECH,1,A,1,Environmental Science,2,0,0,2,0,2,Dr. Neha Gupta
9,BTECH,1,B,2,Engineering Mathematics-I,4,0,1,4,0,4,Dr. Ramesh Kumar
10,BTECH,1,B,2,Engineering Physics,3,2,0,3,1,4,Dr. Sunita Sharma
11,BTECH,1,B,2,Engineering Chemistry,3,2,0,3,1,4,Dr. Amit Verma
12,BTECH,1,B,2,Basic Electrical Engineering,3,2,0,3,1,4,Prof. Vikram Rao
13,BTECH,1,B,2,Programming for Problem Solving,3,2,0,3,1,4,Dr. Priya Patel
14,BTECH,1,B,2,Engineering Graphics,1,2,0,1,1,2,Prof. Suresh Mehta
15,BTECH,1,B,2,Communication Skills,2,0,1,2,0,2,Dr. Kavita Joshi
16,BTECH,1,B,2,Environmental Science,2,0,0,2,0,2,Dr. Neha Gupta
